date,sales
2023-01-01,12500
2023-01-02,14200
2023-01-03,13800
2023-01-04,15100
2023-01-05,16800
2023-01-06,17200
2023-01-07,16500
2023-01-08,13200
2023-01-09,14100
2023-01-10,14900
2023-01-11,15500
2023-01-12,16200
2023-01-13,17100
2023-01-14,17800
2023-01-15,16900
2023-01-16,14500
2023-01-17,15200
2023-01-18,15800
2023-01-19,16300
2023-01-20,17500
2023-01-21,18200
2023-01-22,17600
2023-01-23,16800
2023-01-24,15400
2023-01-25,16100
2023-01-26,16700
2023-01-27,17400
2023-01-28,18100
2023-01-29,18500
2023-01-30,17700
2023-01-31,17200
2023-02-01,14800
2023-02-02,15500
2023-02-03,16200
2023-02-04,16900
2023-02-05,17800
2023-02-06,18500
2023-02-07,17900
2023-02-08,15600
2023-02-09,16300
2023-02-10,17000
2023-02-11,17600
2023-02-12,18400
2023-02-13,19100
2023-02-14,19800
2023-02-15,18900
2023-02-16,16500
2023-02-17,17200
2023-02-18,17800
2023-02-19,18500
2023-02-20,19200
2023-02-21,19900
2023-02-22,19300
2023-02-23,18100
2023-02-24,16800
2023-02-25,17500
2023-02-26,18200
2023-02-27,18900
2023-02-28,19600
2023-03-01,16200
2023-03-02,17100
2023-03-03,17800
2023-03-04,18500
2023-03-05,19400
2023-03-06,20100
2023-03-07,19500
2023-03-08,17200
2023-03-09,17900
2023-03-10,18600
2023-03-11,19300
2023-03-12,20000
2023-03-13,20700
2023-03-14,21400
2023-03-15,20500
2023-03-16,18100
2023-03-17,18800
2023-03-18,19500
2023-03-19,20200
2023-03-20,20900
2023-03-21,21600
2023-03-22,21000
2023-03-23,19800
2023-03-24,18500
2023-03-25,19200
2023-03-26,19900
2023-03-27,20600
2023-03-28,21300
2023-03-29,22000
2023-03-30,21200
2023-03-31,20600
2023-04-01,17500
2023-04-02,18200
2023-04-03,18900
2023-04-04,19600
2023-04-05,20500
2023-04-06,21200
2023-04-07,20600
2023-04-08,18300
2023-04-09,19000
2023-04-10,19700
2023-04-11,20400
2023-04-12,21100
2023-04-13,21800
2023-04-14,22500
